city,hex,auc_flood,intersection_density,circuity,orientation_entropy,mean_street_length,greenspace_fragmentation
barcelona,8839446285fffff,0.0,12.173226656108904,1.0301456885803004,3.444507404007983,25.02125201355908,784.6461789247473
barcelona,8839446281fffff,0.0,9.517138559721968,1.065836401298076,3.4814779405923253,32.18081447234856,722.5527792501916
barcelona,883944628dfffff,0.0,8.352872249487854,1.1433025229448044,3.491433697236806,36.92001370111285,247.68502956772255
barcelona,8839446283fffff,0.0,8.82845313043879,1.0531311251393345,3.3933982139242977,34.895409545979994,154.82647006949293
barcelona,88394462b9fffff,0.0,7.336130449575688,1.0236712327540682,3.147281668495572,40.091659912595304,1097.0396895094211
barcelona,88394462bbfffff,0.0,9.750073888519513,1.0367755430193542,2.61113598687632,31.682636409632146,188.7661300719028
barcelona,8839446295fffff,0.0,10.955061969478097,1.0455010798899178,2.8891433628786194,29.107781581595205,78.72023311772283
barcelona,88394462b1fffff,0.0,9.7510160095407,1.0475926017727897,3.16368299298086,30.93082011464031,547.7429441362927
barcelona,88394462b7fffff,0.0,10.260069878714829,1.0340674711740647,3.077855980831271,29.973614642833105,1032.8671418962915
barcelona,88394460c7fffff,0.0,9.744148493951696,1.031017474493816,3.0418764902876285,31.113200089184485,705.5335200571158
barcelona,88394461cdfffff,0.0,10.266007998269558,1.0448929920404548,3.4219100013076185,31.053789327471772,886.7740093725148
barcelona,8839446007fffff,0.0,11.527501665728812,1.018413806645485,3.436021642804266,26.576303381824,301.37979309574445
barcelona,8839446029fffff,0.0,9.585578294590617,1.032071700071028,3.3297060965283034,31.92986036568183,549.6837192330136
barcelona,88394461ebfffff,0.0,8.421728989133086,1.0331016100623094,2.9868271207430506,35.4422291277713,2249.7438438374497
barcelona,883944618dfffff,0.0,7.009975564730613,1.082532444555204,3.3458966190794985,44.16406851024275,136.36571086633876
barcelona,8839446181fffff,0.0,7.461591996046355,1.0637080371966852,2.867119670559062,35.268330790035236,250.9237289965456
barcelona,8839446199fffff,0.0,5.145816132238954,1.04295621331852,2.8427686961869996,53.60900231883904,28894.336789645684
barcelona,883944619dfffff,0.0,4.453877428371526,1.03062924907508,2.654754515616476,58.937409980763235,3809.514785363128
barcelona,88394461e7fffff,0.0,6.73124708724176,1.041110260197059,2.9504960572181655,44.797997732711465,2505.9580755810725
barcelona,88394462a9fffff,0.0,11.40752605027292,1.0408527394013654,3.287159277210334,26.821421510532907,467.5629878919873
barcelona,88394462e5fffff,0.0,8.95290359809483,1.116310039651278,3.4967025697512213,34.39632924597556,693.9727018227917
barcelona,883944615bfffff,0.0,8.857205919993305,1.0379510687911968,3.4265053119903044,34.224335957595486,622.2783472900014
barcelona,88394461c5fffff,0.0,9.413880278199692,1.040829257880422,2.807636373056496,32.447592007967366,284.7230988812777
barcelona,88394461c3fffff,0.0,7.571612256646869,1.110537044193027,3.4241671119384245,40.56352464686216,90.0886561416882
barcelona,8839446189fffff,0.0,5.847526764782126,1.154027457658919,3.4670368070423665,52.51822519168232,18.619182444957257
barcelona,88394461c7fffff,0.0,6.8604515813605005,1.096818832142047,3.3472192063172974,44.4973782298743,46.361826154872176
barcelona,883944602dfffff,0.0,9.285812159035778,1.0310795066468186,2.994583820526941,32.489658482522465,962.8910986812105
barcelona,883944628bfffff,0.0,9.087686842988242,1.0654672809109518,3.517664009326902,33.588684443764656,98.36909237352396
barcelona,8839446069fffff,0.0,4.87602623692981,1.1441671319923157,3.3733118184864312,68.05919225090162,0.0
barcelona,8839446313fffff,0.0,6.225367979908772,1.127866420452279,3.4635228438088355,49.69585749765329,564.5222268074594
barcelona,8839446045fffff,0.0,3.892529686524788,1.1545298896700165,3.485193235869544,78.27493289383804,1044.1085079639236
barcelona,883944604dfffff,0.0,2.524957497186481,1.2086852090564897,3.4030341249352865,132.0154235090139,0.0
barcelona,883944631bfffff,0.0,3.5262065781332224,1.2486441910093102,3.4777302041689153,90.3217504782552,610.4087350744998
barcelona,8839446225fffff,2.950279395762582e-07,4.3422106553332105,1.1443350770405585,3.517612507236366,69.48629670014965,0.0
barcelona,8839446067fffff,0.0,8.830032244651422,1.0404537472858206,3.157969469094434,33.86723210070579,1287.3662302884843
barcelona,8839446041fffff,0.0,4.81374605400118,1.2011007805676963,3.5251110073594347,65.63957023856427,0.0
barcelona,88394460d7fffff,0.0,5.092226794448989,1.0380851704936236,3.2216614246756636,59.37001504428528,266.3352962668724
barcelona,8839446065fffff,0.0,4.492024509599738,1.1971642217385992,3.2439871414948858,67.94148263051206,247.2606274287131
barcelona,8839446061fffff,0.0,5.273088151770049,1.171459772238384,3.4950741492217947,58.40979538652541,9.161407423506285
barcelona,88394462e3fffff,0.0,10.504083775666375,1.0781547745370772,3.17574198576857,29.17192507505906,545.2812799521813
barcelona,8839446043fffff,0.0,4.314001089377291,1.2186962476693388,3.5216982092669165,73.808038895272,336.39733992137985
barcelona,8839446047fffff,0.0,5.402081819251865,1.1978418837378746,3.430349148084617,58.23805564214931,367.9235958762936
barcelona,88394461d3fffff,0.0,5.549803020229771,1.1418080048191044,2.165565653310257,52.44236147814724,13645.114040362403
barcelona,8839446059fffff,0.0,11.0960212295628,1.0730058225560852,2.9365064162009995,27.340928892411167,2684.121457332813
barcelona,88394462ebfffff,0.0,2.132955633650462,1.2088989242190438,3.044820482464577,162.28834800535384,0.0
barcelona,88394462e1fffff,0.0,3.8968831451082977,1.190182065941206,3.4488721872205494,83.73763783071189,0.0
barcelona,8839446153fffff,0.0,8.487889853179835,1.07095778061486,3.440396341879489,38.004810470112425,309.48112823156276
barcelona,8839446311fffff,0.0,3.607485840125749,1.122066522894608,3.2811235607848115,99.7924914897105,0.0
