city,hex,auc_inf,auc_cap
amsterdam,8819695317fffff,2.5571081264850437,52.030953989499906
amsterdam,8819695231fffff,0.09917527082462443,5.385320779849883
amsterdam,881969533bfffff,2.3768626717987464,47.45491997244116
amsterdam,8819695149fffff,1.5597136741165725,28.07621796861211
amsterdam,881969523dfffff,2.429438085846192,18.11319908349856
amsterdam,8819695227fffff,4.766741269464307,70.29114302237502
amsterdam,8819695223fffff,3.167656370754314,84.55898265426259
amsterdam,881969514dfffff,1.750140972858462,7.05344183175757
amsterdam,8819695331fffff,7.190926541717579,51.777891304788895
amsterdam,8819695239fffff,2.864216952080452,26.729070817126434
amsterdam,8819695335fffff,4.563278113571155,36.38308326696579
amsterdam,8819695339fffff,7.0174722469047595,27.044839242753536
amsterdam,8819695215fffff,0.0,5.3033008588991075
amsterdam,881969521dfffff,1.8637366599093623,7.167037518808472
amsterdam,8819695203fffff,7.035801718304165,36.20395644224926
amsterdam,8819695323fffff,5.30971309710819,71.44236882567215
amsterdam,8819695221fffff,1.8177659850487697,54.85077457403983
amsterdam,8819695327fffff,2.9502455243872547,55.67174686875959
amsterdam,881969522bfffff,3.7890141717482515,14.395615889546464
amsterdam,881968249bfffff,2.0144619724290025,39.13756798472275
amsterdam,881969533dfffff,2.3015764644384284,28.51287833613642
amsterdam,8819695319fffff,4.1741841928873065,54.02090684996337
amsterdam,881969531dfffff,4.657675299642295,28.490050226593027
amsterdam,8819695303fffff,4.6852951157182074,23.072082849113087
amsterdam,881969cd67fffff,5.679314929668163,21.48207886146923
amsterdam,8819695225fffff,3.6460241739526937,8.949325032851801
amsterdam,8819695307fffff,2.3007840678974723,47.35068487527489
amsterdam,8819695201fffff,7.768986155340813,55.43103330314317
amsterdam,8819682491fffff,1.3301918224866267,3.981842251936181
amsterdam,8819695321fffff,4.567536323073128,25.567560362132806
amsterdam,8819695205fffff,6.4831080740102776,107.13561894982847
amsterdam,881969532bfffff,3.528105573068983,19.362423193072342
amsterdam,8819695229fffff,3.8746633044778704,25.0517710571324
amsterdam,8819695325fffff,4.383911451868591,36.20371660526324
amsterdam,8819682499fffff,3.279562794172554,34.190966022657626
amsterdam,8819695353fffff,6.330421588369665,11.633722447268774
amsterdam,881968249dfffff,8.691582261583191,35.065538242957416
amsterdam,8819695305fffff,10.090169375655279,91.32977372740677
amsterdam,881969cd63fffff,4.648000953530311,64.73784603929055
amsterdam,8819695263fffff,5.159673175265496,36.97947832866014
amsterdam,881969520dfffff,5.759717258513685,29.624571123559672
amsterdam,881969532dfffff,3.765203286251658,51.16072858820214
amsterdam,8819695329fffff,6.435394758315944,67.42335463565568
amsterdam,8819682483fffff,4.480488882098002,4.480488882098002
amsterdam,88196824d3fffff,5.577353552093147,53.3070612821851
amsterdam,881969535bfffff,5.019176655981552,26.175882979468454
amsterdam,88196824d7fffff,4.5738329447046775,23.13538595085155
amsterdam,881969cd61fffff,3.7596654188849854,22.00322358399708
amsterdam,8819695255fffff,2.09108906969749,63.07904894703723
amsterdam,881968248bfffff,3.645757162172297,35.30595892551217
amsterdam,881969cd65fffff,5.248726068102556,45.023482509845856
amsterdam,8819682481fffff,1.9378970066646755,4.58954743611423
amsterdam,8819695363fffff,7.490660044232606,23.342615383292394
amsterdam,8819695367fffff,1.0029040500607664,3.65455447951032
amsterdam,8819695261fffff,9.364063246902461,27.029070049642936
amsterdam,88196824d5fffff,3.1841787838114057,50.84043609157701
amsterdam,88196824dbfffff,8.35019745882542,26.85013057687924
amsterdam,88196824d1fffff,9.714725945573598,38.88288066951869
amsterdam,8819695359fffff,9.759375222061552,28.320928228208427
amsterdam,881969c8b3fffff,4.4737250286987225,46.81698035424372
amsterdam,881969536bfffff,6.602879177655267,67.30947401409574
amsterdam,881969c8b7fffff,0.2827928682608104,13.541045015508576
amsterdam,8819695361fffff,1.5936613514778215,20.1552143576247
amsterdam,881969c8b5fffff,2.896289988092254,24.109493423688683
amsterdam,88196824d9fffff,6.862252891005364,27.819659751857422
amsterdam,8819695341fffff,5.656134526913612,16.262736244711828
amsterdam,881969c8b1fffff,0.0900546184162603,2.7417050478658145
amsterdam,88196824c3fffff,2.6217227089409523,29.138227003436487
amsterdam,881969524dfffff,6.787036310950669,20.04528845819844
amsterdam,881969536dfffff,6.99879686711828,81.04478947650477
amsterdam,88196824ddfffff,0.0,0.0
amsterdam,8819695369fffff,4.383719117151097,51.30836060689061
amsterdam,8819695365fffff,5.164237210383821,23.725790216530697
amsterdam,881969c997fffff,3.823287775305278,32.26970917643223
amsterdam,88196826b3fffff,11.033578167949377,69.27894374005541
amsterdam,88196826b7fffff,5.506996160400248,50.51635781000063
amsterdam,881969c9b1fffff,7.4240905795963235,60.31533534939453
amsterdam,88196824c1fffff,5.006287483059817,34.1744422070049
amsterdam,881969c8a3fffff,2.8141603206733103,31.520256429472084
amsterdam,881969c8bdfffff,1.5145578266844395,14.77280997393221
amsterdam,8819682693fffff,4.906136458102179,15.512738175900395
amsterdam,881969534dfffff,4.211669026713475,20.072676025223466
amsterdam,88196824cbfffff,5.074075471941981,52.61511510220284
amsterdam,88196824c5fffff,2.8121791732060535,10.767130461554713
amsterdam,8819682697fffff,5.569343456013016,26.782546891609446
amsterdam,88196826bbfffff,4.620848561731276,23.18240156787816
amsterdam,881969c991fffff,4.453809451182342,38.506004433635724
amsterdam,88196826b1fffff,6.9552044083700855,44.07831042066384
amsterdam,881969c8a7fffff,0.0,7.954951288348662
amsterdam,88196826b5fffff,2.396986973827949,20.958539979974823
amsterdam,881969c8abfffff,4.341479485720255,28.172618986756483
amsterdam,881969c9b9fffff,2.7237331195503898,22.915516963438932
amsterdam,881969c995fffff,3.495109896693272,22.056662902840145
amsterdam,881969c9a3fffff,2.629920709712278,10.584871998060938
amsterdam,88196824cdfffff,1.9119609557537964,4.56361138520335
amsterdam,88196824c9fffff,1.516550627492499,62.504510504832226
amsterdam,8819682691fffff,5.103787538103181,46.89017149635146
amsterdam,8819682695fffff,3.4519475288695523,58.07275414011306
amsterdam,881969c8a1fffff,3.392805245242255,48.470862545884664
