hex,auc_all,auc_strict,city
881ec91297fffff,6.106389272306141,7.66033634709737,istanbul
881ec91291fffff,4.609728886632204,1.8245128515089164,istanbul
881ec9129dfffff,4.887251373145247,1.4714280824287151,istanbul
881ec912d7fffff,1.249029999352152,0.0,istanbul
881ec91299fffff,4.325015678913046,3.930459120007464,istanbul
881ec91293fffff,11.51519692803217,15.116735071996125,istanbul
881ec98c07fffff,9.118049739627688,11.306896780204085,istanbul
881ec98c63fffff,0.0,0.17131445079396942,istanbul
881ec98c0dfffff,8.128596280610749,5.600598580469245,istanbul
881ec98dc3fffff,3.490484240178718,10.086220650812878,istanbul
881ec98dc1fffff,1.0272890423153336,0.5839070398812782,istanbul
881ec98da1fffff,0.20482002305998503,0.20482002305998523,istanbul
881ec98debfffff,1.2835266842315574,0.0,istanbul
881ec98d8dfffff,3.950679530404664,3.7169946035838697,istanbul
881ec98ce5fffff,0.48244650387448434,0.0,istanbul
881ec98ce1fffff,5.7445048232630045,5.3075558023506035,istanbul
881ec98d89fffff,13.097089523165577,11.625958798627614,istanbul
881ec98dc7fffff,8.469690236735401,10.82503579259087,istanbul
881ec910ebfffff,6.239880324910432,11.3757641123079,istanbul
881ec912abfffff,0.4473561888468526,0.2507757486459496,istanbul
881ec98da5fffff,0.2943365822378168,0.1962243881585446,istanbul
881ec910e7fffff,10.864407294563806,18.70702154135687,istanbul
881ec910c5fffff,8.582006296681541,8.223919300875295,istanbul
881ec98dcbfffff,0.0,0.0,istanbul
881ec9128dfffff,1.229176644405826,0.0,istanbul
881ec91289fffff,0.0,0.0,istanbul
881ec9c589fffff,1.474140373709755,0.15084077310179822,istanbul
881ec9c58dfffff,12.075404520217075,8.56148615687551,istanbul
881ec9c5c7fffff,7.271917679355486,6.499011958137101,istanbul
881ec9c5a7fffff,15.905952922352446,9.084396055021337,istanbul
881ec91b4dfffff,3.5982479663702893,12.447889922651758,istanbul
881ec9c5a1fffff,8.592420642169,6.265864463200151,istanbul
881ec9c5abfffff,11.870977209956934,13.564339543634336,istanbul
881ec9c585fffff,6.0871336988535685,8.205100185645097,istanbul
881ec9ce15fffff,5.789399793490438,3.5147293173864402,istanbul
