city,hex,auc_flood
amsterdam,8819682693fffff,0.0
amsterdam,881969534dfffff,0.0
amsterdam,88196824cbfffff,0.0
amsterdam,88196824c5fffff,0.0
amsterdam,8819682697fffff,0.0
amsterdam,88196826bbfffff,0.0
amsterdam,881969c991fffff,0.0
amsterdam,88196826b1fffff,0.0
amsterdam,881969c8a7fffff,0.0
amsterdam,88196826b5fffff,0.0
amsterdam,881969c8abfffff,0.0
amsterdam,881969c9b9fffff,0.0
amsterdam,881969c995fffff,0.0
amsterdam,881969c9a3fffff,0.0
amsterdam,88196824cdfffff,0.0
amsterdam,88196824c9fffff,0.0
amsterdam,8819682691fffff,0.0
amsterdam,8819682695fffff,0.0
amsterdam,881969c8a1fffff,0.0
amsterdam,881969c99dfffff,0.0
amsterdam,881969c8a5fffff,0.0
amsterdam,881969c999fffff,0.0
amsterdam,88196826b9fffff,0.0
amsterdam,88196826bdfffff,0.0
amsterdam,881969c9abfffff,0.0
amsterdam,881969c987fffff,0.0
amsterdam,881969c8adfffff,0.0
amsterdam,88196826a3fffff,0.0
amsterdam,88196826a7fffff,0.0
amsterdam,881969c9d3fffff,0.0
amsterdam,881969c8a9fffff,0.0
amsterdam,8819682683fffff,0.0
amsterdam,881968269dfffff,0.0
amsterdam,881969c9d7fffff,0.0
amsterdam,881969c98bfffff,0.0
amsterdam,881968241bfffff,0.0
amsterdam,881969c981fffff,0.0
amsterdam,88196826abfffff,0.0
amsterdam,881969c9dbfffff,0.0
amsterdam,88196826a1fffff,0.0
amsterdam,88196826a5fffff,0.0
amsterdam,8819682687fffff,0.0
amsterdam,881969c9adfffff,0.0
amsterdam,881969c9a9fffff,0.0
amsterdam,881969c985fffff,0.0
amsterdam,8819682419fffff,0.0
amsterdam,88196826d3fffff,0.0
amsterdam,881969c9d5fffff,0.0
amsterdam,881969c9d1fffff,0.0
amsterdam,8819682685fffff,0.0
amsterdam,881969c989fffff,0.0
amsterdam,881969c98dfffff,0.0
amsterdam,88196826d7fffff,0.0
amsterdam,881969c9e3fffff,0.0
amsterdam,881969c9d9fffff,0.0
amsterdam,8819682457fffff,0.0
amsterdam,881968241dfffff,0.0
amsterdam,881968240bfffff,0.0
amsterdam,881969c9c3fffff,0.0
amsterdam,881969c9ddfffff,0.0
amsterdam,881969c9c7fffff,0.0
amsterdam,881969c9ebfffff,0.0
amsterdam,881969c9e1fffff,0.0
amsterdam,8819682455fffff,0.0
amsterdam,8819682451fffff,0.0
amsterdam,88196826e1fffff,0.0
amsterdam,881969c9c1fffff,0.0
amsterdam,881969c9e5fffff,0.0
amsterdam,881969c9c5fffff,0.0
amsterdam,881969c9e9fffff,0.0
amsterdam,881969c9edfffff,0.0
