city,hex,auc_inf,auc_cap,auc_ext
amsterdam,881969523dfffff,2.429438085846192,18.11319908349856,145.61131071407283
amsterdam,8819695227fffff,4.766741269464307,70.29114302237502,157.99687886546656
amsterdam,8819695223fffff,3.167656370754314,84.55898265426259,155.9344603292107
amsterdam,881969514dfffff,1.750140972858462,7.05344183175757,40.273094220598054
amsterdam,8819695331fffff,7.190926541717579,51.777891304788895,98.85741487187431
amsterdam,8819695239fffff,2.864216952080452,26.729070817126434,82.54452864491427
amsterdam,8819695335fffff,4.563278113571155,36.38308326696579,139.38287866119205
amsterdam,8819695339fffff,7.0174722469047595,27.044839242753536,98.16401262548673
amsterdam,8819695215fffff,0.0,5.3033008588991075,43.49730639406937
amsterdam,881969521dfffff,1.8637366599093623,7.167037518808472,92.19052726669348
amsterdam,8819695203fffff,7.035801718304165,36.20395644224926,170.09978590149407
amsterdam,8819695323fffff,5.30971309710819,71.44236882567215,155.86170832692648
amsterdam,8819695221fffff,1.8177659850487697,54.85077457403983,141.37785167653698
amsterdam,8819695327fffff,2.9502455243872547,55.67174686875959,121.9439734606261
amsterdam,881969522bfffff,3.7890141717482515,14.395615889546464,101.91348378319819
amsterdam,881968249bfffff,2.0144619724290025,39.13756798472275,121.32707966416855
amsterdam,881969533dfffff,2.3015764644384284,28.51287833613642,156.8175786481011
amsterdam,8819695319fffff,4.1741841928873065,54.02090684996337,111.69083838733025
amsterdam,881969531dfffff,4.657675299642295,28.490050226593027,63.292764788961385
amsterdam,8819695303fffff,4.6852951157182074,23.072082849113087,123.55280127247383
amsterdam,881969cd67fffff,5.679314929668163,21.48207886146923,63.70456442529129
amsterdam,8819695225fffff,3.6460241739526937,8.949325032851801,62.64746362457957
amsterdam,8819695307fffff,2.3007840678974723,47.35068487527489,103.21675539650364
amsterdam,8819695201fffff,7.768986155340813,55.43103330314317,178.30053542631507
amsterdam,8819682491fffff,1.3301918224866267,3.981842251936181,21.450585835786633
amsterdam,8819695321fffff,4.567536323073128,25.567560362132806,72.7800989802707
amsterdam,8819695205fffff,6.4831080740102776,107.13561894982847,253.838126764164
amsterdam,881969532bfffff,3.528105573068983,19.362423193072342,80.21801461800658
amsterdam,8819695229fffff,3.8746633044778704,25.0517710571324,130.59267126662738
amsterdam,8819695325fffff,4.383911451868591,36.20371660526324,80.8351719424905
amsterdam,8819682499fffff,3.279562794172554,34.190966022657626,226.33203007026728
amsterdam,8819695353fffff,6.330421588369665,11.633722447268774,50.781121972488286
amsterdam,881968249dfffff,8.691582261583191,35.065538242957416,118.25549325557368
amsterdam,8819695305fffff,10.090169375655279,91.32977372740677,178.63313993543477
amsterdam,881969cd63fffff,4.648000953530311,64.73784603929055,110.04629662733068
amsterdam,8819695263fffff,5.159673175265496,36.97947832866014,128.47373674469867
amsterdam,881969520dfffff,5.759717258513685,29.624571123559672,100.1094054168982
amsterdam,881969532dfffff,3.765203286251658,51.16072858820214,109.20558403162768
amsterdam,8819695329fffff,6.435394758315944,67.42335463565568,114.06843290937921
amsterdam,8819682483fffff,4.480488882098002,4.480488882098002,87.32763064892862
amsterdam,88196824d3fffff,5.577353552093147,53.3070612821851,90.27942799807178
amsterdam,881969535bfffff,5.019176655981552,26.175882979468454,73.62254116240537
amsterdam,88196824d7fffff,4.5738329447046775,23.13538595085155,69.90127589198354
amsterdam,881969cd61fffff,3.7596654188849854,22.00322358399708,64.10872507167541
amsterdam,8819695255fffff,2.09108906969749,63.07904894703723,180.70058858228583
amsterdam,881968248bfffff,3.645757162172297,35.30595892551217,106.74480177672898
amsterdam,881969cd65fffff,5.248726068102556,45.023482509845856,156.559201993742
amsterdam,8819682481fffff,1.9378970066646755,4.58954743611423,26.09031652379505
amsterdam,8819695363fffff,7.490660044232606,23.342615383292394,95.02733622862074
amsterdam,8819695367fffff,1.0029040500607664,3.65455447951032,57.373040644442646
amsterdam,8819695261fffff,9.364063246902461,27.029070049642936,149.59043600329636
amsterdam,88196824d5fffff,3.1841787838114057,50.84043609157701,130.63748399823965
amsterdam,88196824dbfffff,8.35019745882542,26.85013057687924,63.33946195142841
amsterdam,88196824d1fffff,9.714725945573598,38.88288066951869,119.1500829388626
amsterdam,8819695359fffff,9.759375222061552,28.320928228208427,75.02232496640191
amsterdam,881969c8b3fffff,4.4737250286987225,46.81698035424372,97.52576197373128
amsterdam,881969536bfffff,6.602879177655267,67.30947401409574,164.37657988844236
amsterdam,881969c8b7fffff,0.2827928682608104,13.541045015508576,54.35285816725821
amsterdam,8819695361fffff,1.5936613514778215,20.1552143576247,99.22038681157306
amsterdam,881969c8b5fffff,2.896289988092254,24.109493423688683,134.54309190354164
amsterdam,88196824d9fffff,6.862252891005364,27.819659751857422,69.70382343418511
amsterdam,8819695341fffff,5.656134526913612,16.262736244711828,75.89876522265796
amsterdam,881969c8b1fffff,0.0900546184162603,2.7417050478658145,67.44696039258501
amsterdam,88196824c3fffff,2.6217227089409523,29.138227003436487,65.58624743802314
amsterdam,881969524dfffff,6.787036310950669,20.04528845819844,66.90879281672315
amsterdam,881969536dfffff,6.99879686711828,81.04478947650477,149.6136419843065
amsterdam,88196824ddfffff,0.0,0.0,11.885829679836712
amsterdam,8819695369fffff,4.383719117151097,51.30836060689061,110.00581832693982
amsterdam,8819695365fffff,5.164237210383821,23.725790216530697,127.89771981766513
amsterdam,881969c997fffff,3.823287775305278,32.26970917643223,121.91994421742923
amsterdam,88196826b3fffff,11.033578167949377,69.27894374005541,168.59377793655256
amsterdam,88196826b7fffff,5.506996160400248,50.51635781000063,105.66381133808477
