city,hex,green_area_km2,major_road_share,relief_m,centre_dist_km
istanbul,881ec9174bfffff,0.011488560183685822,0.1673469387755102,27.155940160185644,13.57911966577961
istanbul,881ec910d9fffff,0.012641343515951184,0.24161073825503357,24.420575619530197,10.31636638954566
istanbul,881ec910d1fffff,0.0164160675160781,0.21292217327459617,20.34463989111552,9.374657342084586
istanbul,881ec91743fffff,0.018784898538200843,0.25984251968503935,17.21661201065922,12.633182196684066
istanbul,881ec98db7fffff,0.0,0.18666666666666668,26.26281403387063,14.194792350743999
istanbul,881ec98db1fffff,0.13982700021072048,0.15384615384615385,19.84065838930369,15.133136308923495
istanbul,881ec91747fffff,0.057669996279423305,0.024630541871921183,23.551783328639544,12.05153583310799
istanbul,881ec9176bfffff,0.08358409263281834,0.01744186046511628,11.723697754986084,11.521428437269053
istanbul,881ec98d85fffff,0.5051176211606888,0.06060606060606061,29.42623788953255,16.8300590165875
istanbul,881ec98dabfffff,0.49047684629770155,0.21739130434782608,6.401886726259789,15.873292424344127
istanbul,881ec98dbdfffff,0.4209950387891136,0.27835051546391754,19.981312809785482,15.476265965998506
istanbul,881ec98db5fffff,0.060566131291489675,0.1396103896103896,25.546522554581376,14.526932983318254
istanbul,881ec91709fffff,0.050934165015527576,0.17209302325581396,23.57193909271851,11.689591240319109
istanbul,881ec91749fffff,0.03976990799021565,0.11914893617021277,15.968132937539256,13.961108458484421
istanbul,881ec98da3fffff,0.31979771767278814,0.06333333333333334,20.74664512848792,14.916942743842895
istanbul,881ec98da7fffff,0.6712555511492831,0.4067796610169492,12.434709522356645,14.400571425389524
istanbul,881ec9174dfffff,0.031205844628756807,0.0903954802259887,14.007476993596628,13.440775432752814
istanbul,881ec9129bfffff,0.32127870656959734,0.08235294117647059,28.571593100121387,13.931940463096334
istanbul,881ec98d87fffff,0.15257170315857263,0.13090909090909092,18.652458591531737,16.426844264851834
istanbul,881ec98d95fffff,0.08355437631703909,0.08695652173913043,12.88216260488451,16.706150531429607
istanbul,881ec98dd9fffff,0.08430133609826918,0.2857142857142857,23.688450503928095,20.457120975271202
istanbul,881ec98dddfffff,0.0,0.21739130434782608,38.35492729316011,19.855875189994983
istanbul,881ec98c3bfffff,0.0012532533222246451,0.0,12.22776895064953,22.343755226771165
istanbul,881ec98cedfffff,0.004055399705960996,0.13333333333333333,27.441310285846075,22.02098278232886
istanbul,881ec98c05fffff,0.17235234049918052,0.15023474178403756,22.707213454135474,23.534185861223566
istanbul,881ec98ce3fffff,0.0,0.2,4.524623986832743,21.496793725465004
istanbul,881ec98c17fffff,0.015164753701000278,0.3333333333333333,33.93523242884893,22.95860273718918
istanbul,881ec98c57fffff,0.0010248022092915437,0.0,20.183848867399917,25.18278693654446
istanbul,881ec98c15fffff,0.04577721716334684,0.0,13.566890210173353,23.289043540198413
istanbul,881ec912c3fffff,0.0,0.18181818181818182,28.27025115897834,16.349797690906033
istanbul,881ec91281fffff,0.7383317285601956,0.25757575757575757,14.939257104980038,14.483557230945348
istanbul,881ec91287fffff,0.058839075768156314,0.25,5.005781781067711,13.556118543469564
istanbul,881ec91283fffff,0.7831077353767055,0.2978723404255319,25.026788368754424,13.801418831085856
istanbul,881ec912b9fffff,0.04212637129970942,0.31210191082802546,4.39059719742087,12.862237126355726
istanbul,881ec912bbfffff,0.06517183482326634,0.22514619883040934,24.618881986189052,12.20861018230181
istanbul,881ec91295fffff,0.023150067403188535,0.2676767676767677,16.4099581431749,13.1578486692522
istanbul,881ec912b1fffff,0.15283110075550704,0.19557195571955718,28.45213381548606,11.926434323433941
istanbul,881ec912bdfffff,0.06359267784449493,0.2867647058823529,29.550536964163932,12.63359981208799
istanbul,881ec912b3fffff,0.0059312095292307606,0.2621035058430718,23.64045987997873,11.261269393498717
istanbul,881ec98c55fffff,0.0132671257034242,0.10666666666666667,8.1462311657622,25.560152935643423
istanbul,881ec98c01fffff,0.013276351451978204,0.2602739726027397,23.863708721711514,24.05766137938697
istanbul,881ec91761fffff,0.10647419120306555,0.06622516556291391,12.543108185072942,11.050294618945326
istanbul,881ec91767fffff,0.08044336741946805,0.16839378238341968,10.65206455288149,10.089703354690279
istanbul,881ec98c2bfffff,0.019488093901310823,0.1111111111111111,12.84697415959229,22.575999794370915
istanbul,881ec98c29fffff,0.0470926380846098,0.0273972602739726,15.461018203864413,23.039175895588777
